Klasse 1EA01: 22 Schüler, davon 0 weiblich
Klasse 1EA02: 7 Schüler, davon 2 weiblich
Klasse 1EB01: 17 Schüler, davon 5 weiblich
Klasse 1EB02: 2 Schüler, davon 0 weiblich
Klasse 1EB03: 11 Schüler, davon 1 weiblich
Klasse 2EA01: 19 Schüler, davon 4 weiblich
Klasse 2EA02: 1 Schüler, davon 0 weiblich
Klasse 2EA03: 1 Schüler, davon 1 weiblich
Klasse 2EA04: 5 Schüler, davon 0 weiblich
Klasse 2EA05: 1 Schüler, davon 1 weiblich
Klasse 2EB01: 12 Schüler, davon 3 weiblich
Klasse 2EB02: 1 Schüler, davon 1 weiblich
Klasse 2EB03: 2 Schüler, davon 2 weiblich
Klasse 2EB04: 11 Schüler, davon 3 weiblich
Klasse 2EB05: 1 Schüler, davon 1 weiblich
Klasse 03A01: 18 Schüler, davon 3 weiblich
Klasse 03A02: 9 Schüler, davon 0 weiblich
Klasse 03B01: 18 Schüler, davon 5 weiblich
Klasse 03B02: 1 Schüler, davon 1 weiblich
Klasse 03B03: 6 Schüler, davon 0 weiblich
Klasse 04A01: 17 Schüler, davon 3 weiblich
Klasse 04A02: 2 Schüler, davon 1 weiblich
Klasse 04B01: 12 Schüler, davon 2 weiblich
Klasse 04B02: 7 Schüler, davon 2 weiblich
Klasse 04C01: 14 Schüler, davon 3 weiblich
Klasse 04C02: 1 Schüler, davon 0 weiblich
Klasse 04C03: 3 Schüler, davon 0 weiblich
